"gender","groupName","outfitKey","topId","topName","bottomId","bottomName","priceTotal","thumbnailUrl","color1","color2","color3","topUrl","bottomUrl"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323609311","SA | 60's Chiffon Party Dress (Peach)","11323566004","SA | 60's Chiffon Party Dress (Peach)","14","https://tr.rbxcdn.com/180DAY-824d51c213502ae9eed57b83893083ff/420/420/Shirt/Png/noFilter","#ABAAA6","#856B66","#928A87","https://www.roblox.com/catalog/11323609311","https://www.roblox.com/catalog/11323566004"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323609311","SA | 60's Chiffon Party Dress (Peach)","11323561269","SA | 60's Chiffon Party Dress (Red)","14","https://tr.rbxcdn.com/180DAY-824d51c213502ae9eed57b83893083ff/420/420/Shirt/Png/noFilter","#ABAAA6","#856B66","#928A87","https://www.roblox.com/catalog/11323609311","https://www.roblox.com/catalog/11323561269"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323606260","SA | 60's Chiffon Party Dress (Red)","11323556106","SA | 60's Chiffon Party Dress (Noir)","14","https://tr.rbxcdn.com/180DAY-30ef1a7f07264e274f008cd3963bd708/420/420/Shirt/Png/noFilter","#ABAAA6","#865251","#868481","https://www.roblox.com/catalog/11323606260","https://www.roblox.com/catalog/11323556106"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323606260","SA | 60's Chiffon Party Dress (Red)","11323562249","SA | 60's Chiffon Party Dress (Tangerine)","14","https://tr.rbxcdn.com/180DAY-30ef1a7f07264e274f008cd3963bd708/420/420/Shirt/Png/noFilter","#ABAAA6","#865251","#868481","https://www.roblox.com/catalog/11323606260","https://www.roblox.com/catalog/11323562249"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323606260","SA | 60's Chiffon Party Dress (Red)","11323571173","SA | 60's Chiffon Party Dress (Almond Green)","14","https://tr.rbxcdn.com/180DAY-30ef1a7f07264e274f008cd3963bd708/420/420/Shirt/Png/noFilter","#ABAAA6","#865251","#868481","https://www.roblox.com/catalog/11323606260","https://www.roblox.com/catalog/11323571173"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323606260","SA | 60's Chiffon Party Dress (Red)","11323557282","SA | 60's Chiffon Party Dress (Baby Blue)","14","https://tr.rbxcdn.com/180DAY-30ef1a7f07264e274f008cd3963bd708/420/420/Shirt/Png/noFilter","#ABAAA6","#865251","#868481","https://www.roblox.com/catalog/11323606260","https://www.roblox.com/catalog/11323557282"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323606260","SA | 60's Chiffon Party Dress (Red)","11323566004","SA | 60's Chiffon Party Dress (Peach)","14","https://tr.rbxcdn.com/180DAY-30ef1a7f07264e274f008cd3963bd708/420/420/Shirt/Png/noFilter","#ABAAA6","#865251","#868481","https://www.roblox.com/catalog/11323606260","https://www.roblox.com/catalog/11323566004"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323606260","SA | 60's Chiffon Party Dress (Red)","11323561269","SA | 60's Chiffon Party Dress (Red)","14","https://tr.rbxcdn.com/180DAY-30ef1a7f07264e274f008cd3963bd708/420/420/Shirt/Png/noFilter","#ABAAA6","#865251","#868481","https://www.roblox.com/catalog/11323606260","https://www.roblox.com/catalog/11323561269"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323613009","SA | 60's Chiffon Party Dress (Almond Green)","11323556106","SA | 60's Chiffon Party Dress (Noir)","14","https://tr.rbxcdn.com/180DAY-0b1bbe9155b0ef399ab91102174dee18/420/420/Shirt/Png/noFilter","#ACABA7","#808477","#D1D0CB","https://www.roblox.com/catalog/11323613009","https://www.roblox.com/catalog/11323556106"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323613009","SA | 60's Chiffon Party Dress (Almond Green)","11323562249","SA | 60's Chiffon Party Dress (Tangerine)","14","https://tr.rbxcdn.com/180DAY-0b1bbe9155b0ef399ab91102174dee18/420/420/Shirt/Png/noFilter","#ACABA7","#808477","#D1D0CB","https://www.roblox.com/catalog/11323613009","https://www.roblox.com/catalog/11323562249"
